signalType,stage,status,tradeCount,expectancy,profitFactor,medianR,winRate,maxDrawdownR,consecutiveLosses,totalCostsR,eligibleSignals,fillRate
0Day,development,selected,165,0.245447229731,1.552208688299,0.21428084652,0.509090909091,11.152686649092,15,6.874147641094,10388,0.01588371197535618
0Day,validation,evaluated,55,-0.320490530597,0.540532309732,-1.013217284061,0.272727272727,23.01119119149,14,1.420119629653,3460,0.015895953757225433
0Day,holdout,not-evaluated,,,,,,,,,,
1Day,development,selected,226,0.700888699412,2.950482778762,0.082390141331,0.522123893805,15.185463823672,10,5.172280377798,581,0.3889845094664372
1Day,validation,evaluated,51,-0.616348298636,0.123231685499,-1.009546740741,0.156862745098,31.433763230454,19,1.035906585558,183,0.2786885245901639
1Day,holdout,not-evaluated,,,,,,,,,,
