signalType,detectedAt,score,entryTime,entryPrice,entryFamily,stop,targetPrice,splitTargetPrices,exitTime,exitPrice,exitReason,holdingHours,grossR,feeCostR,slippageCostR,costsR,netR,symbol,support,relVol,signalLow,dailyAtr,configurationId,stage
1Day,1662768000000,74.62926301483894,1662793200000,1.6138065,breakout,1.439765,,,1663099200000,1.4390451175,stop,85,-0.995366047753,0.008770470312,0.00877022147,0.017540691782,-1.012906739535,DYDX,1.455,1.1287131291257082,1.447,0.11135714285714272,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1663966800000,22.9190758663004,1663999200000,5.98299,breakout,5.67349,6.44724,,1664143200000,5.670653255,stop,40,-0.990339256866,0.018826564225,0.01882631664,0.037652880864,-1.02799213773,UNI,5.702,1.1064381715161702,5.696,0.45328571428571385,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1665493200000,62.18282259729619,1665543600000,0.06321159,breakout,0.0571926,0.072240075,,1666292400000,0.0571640037,stop,208,-0.994751611151,0.009999650581,0.009999401893,0.019999052474,-1.014750663625,HBAR,0.05748,1.1623708415125926,0.0569,0.0021214285714285736,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1665878400000,79.79685978747102,1666080000000,57.678825,breakout,52.92405,,,1667289600000,59.05046,time-14d,336,0.300750298384,0.012274953599,0.012275028787,0.024549982386,0.276200315998,EGLD,53.5,1.9587629912399211,53.19,3.0192857142857155,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1666310400000,76.3126237698194,1666368000000,1.528764,breakout,1.376085,,,1667577600000,1.749125,time-14d,336,1.454031006229,0.010734577119,0.010734940627,0.021469517746,1.432561488482,LDO,1.41,2.8083598628048394,1.383,0.10685714285714287,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1666393200000,51.18770844369687,1666494000000,10.593294,breakout,9.751995,11.8552425,,1667437200000,11.84931487875,target-1.5R,262,1.506292649819,0.01333806939,0.013338445963,0.026676515352,1.479616134467,AR,9.801,1.195291491768566,9.741,0.5254285714285715,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1666382400000,60.29563760780335,1666515600000,0.7561779,breakout,0.635407,0.93733425,,1666720800000,0.936865582875,target-1.5R,57,1.503129065031,0.007009318813,0.007009694595,0.014019013408,1.489110051623,OP,0.6386,1.0722358851373022,0.6329,0.05446428571428587,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1666533600000,52.82094779534334,1666562400000,8.5712835,breakout,7.90428,9.57178875,,1667772000000,8.773611,time-14d,336,0.31634016913,0.013002101563,0.013002180648,0.026004282211,0.290335886918,NEO,7.944,1.7368001162599398,7.87,0.3307857142857143,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1666393200000,52.065615138422494,1666566000000,0.24942465,breakout,0.2351185,0.270883875,,1667595600000,0.270748433063,target-1.5R,286,1.508713036002,0.018180051344,0.018180428522,0.036360479866,1.472352556136,IOTA,0.2363,1.073392160040259,0.2354,0.01168571428571428,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1666627200000,52.05244323584119,1666713600000,0.19637814,breakout,0.18034375,0.220429725,,1667142000000,0.220319510138,target-1.5R,119,1.506120594547,0.012993872861,0.012994249391,0.025988122253,1.480132472294,CHZ,0.18125,1.0271706155401013,0.17803,0.015387142857142851,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1666731600000,57.352360620396006,1666850400000,0.5304651,breakout,0.4737195,0.6155835,,1667383200000,0.47348264025,stop,148,-0.995328272148,0.0088460404,0.008845791568,0.017691831968,-1.013020104116,STG,0.4761,1.6913998827108034,0.4746,0.029042857142857145,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1666976400000,57.03332310053713,1667005200000,0.45272625,breakout,0.426855,0.491533125,,1667386800000,0.4266415725,stop,106,-0.991254771223,0.016995077982,0.016994830169,0.033989908151,-1.025244679374,ENJ,0.429,1.0101410857696365,0.4279,0.01911428571428576,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1667001600000,78.43527555324289,1667034000000,18.8324115,breakout,16.62446,,,1667887200000,16.61614777,stop,237,-0.995737451661,0.008027476888,0.008027227953,0.016054704841,-1.011792156501,AVAX,16.72,2.179961920105925,16.708,0.786357142857144,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1667062800000,59.09627068510419,1667116800000,1.836918,breakout,1.648715,2.1192225,,1667343600000,1.6478906425,stop,63,-0.995122288168,0.009258111301,0.009257862521,0.018515973822,-1.01363826199,ALICE,1.657,1.2789075107076981,1.65,0.07485714285714287,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1667534400000,44.524455892881036,1667592000000,0.037868925,breakout,0.03107385,0.0480615375,,1667937600000,0.031058313075,stop,96,-0.997214894611,0.005071852634,0.00507160333,0.010143455964,-1.007358350576,GALA,0.03123,1.3526610322876047,0.03119,0.004204285714285712,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1667606400000,81.0431746975575,1667664000000,14.7523725,breakout,13.059375,,,1667880000000,13.0528453125,stop,60,-0.995645297763,0.008211830736,0.008211581825,0.01642341256,-1.012068710324,ZEN,13.26,1.1300570370578678,13.125,0.7114999999999994,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1667606400000,74.31531092100018,1667667600000,9.182589,breakout,8.25651,,,1667880000000,8.252381745,stop,59,-0.99504469921,0.009413327991,0.00941307923,0.018826407221,-1.013871106431,NEO,8.404,1.0661728249169256,8.298,0.4231428571428572,breakout:sweep:time:14:score70:relvol-1-4,development
1Day,1669766400000,77.84547414731576,1669896000000,45.06252,breakout,39.3224,,,1671105600000,48.05596,time-14d,336,0.529605652843,0.008111196282,0.008111328683,0.016222524965,0.513383127879,DASH,39.81,1.7295455699732056,39.52,2.2635714285714283,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1670882400000,59.09511332900112,1670940000000,1.1015505,breakout,0.9917165,1.2663015,,1671235200000,0.99122064175,stop,82,-0.994987890817,0.009526973167,0.00952672442,0.019053697588,-1.014041588405,LDO,0.9967,1.2180557347523921,0.9858,0.050450000000000036,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1670940000000,57.96012653050788,1670994000000,1.13386665,breakout,1.042561,1.270825125,,1671213600000,1.0420397195,stop,61,-0.993793921844,0.0119155078,0.011915259351,0.023830767151,-1.017624688995,LDO,1.0478,1.8536169586572324,1.0303,0.051407142857142894,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1672473600000,60.518722773418595,1672552800000,0.0030745365,breakout,0.0028855,0.00335809125,,1672599600000,0.003356412204,target-1.5R,13,1.508128059925,0.017009806848,0.01701018388,0.034019990728,1.474108069197,JASMY,0.0029,1.1501533105495543,0.00289,0.00016414285714285709,breakout:support:fixed:1.5:score0:relvol-1-4,development
1Day,1672617600000,77.39441466904916,1672646400000,6.451224,breakout,6.078455,,,1673856000000,7.8450755,time-14d,336,3.758359734849,0.019175815988,0.019176755578,0.038352571566,3.720007163283,NEO,6.178,2.348361540182715,6.109,0.23978571428571469,breakout:sweep:time:14:score70:relvol-1-4,development
0Day,1672696800000,42.122005615044,1672797600000,0.156078,breakout,0.150444,0.164529,,1673226000000,0.1644467355,target-1.5R,119,1.513844515442,0.028445574681,0.028445953142,0.056891527822,1.45695298762,ONT,0.1512,1.1512990636324774,0.1504,0.006021428571428579,breakout:support:fixed:1.5:score0:relvol-1-4,development
0Day,1673024400000,56.45047639502774,1673053200000,1.1109552,breakout,0.9841545,1.30115625,,1673240400000,1.300505671875,target-1.5R,52,1.504378524724,0.009508862616,0.009509238711,0.019018101327,1.485360423397,OP,0.9891,1.2227027444767684,0.9834,0.04205714285714301,breakout:support:fixed:1.5:score0:relvol-1-4,development
