date,equity_before_events,exit_cashflow,entry_fees,equity,open_risk,open_positions
2018-09-28,100000.0,0.0,10.464339908952967,99989.53566009105,1000.0,1
2018-10-16,99989.53566009105,-10.464339908952967,0.0,99979.07132018209,0.0,0
2019-03-11,99979.07132018209,0.0,13.883243406424453,99965.18807677567,999.790713201821,1
2019-04-02,99965.18807677567,1983.6986015708137,0.0,101948.88667834648,0.0,0
2019-06-19,101948.88667834648,0.0,5.408794058087478,101943.47788428838,1019.4888667834648,1
2019-06-26,101943.47788428838,2031.5299617752753,0.0,103975.00784606366,0.0,0
2019-11-10,103975.00784606366,0.0,8.143088190055005,103966.8647578736,1039.7500784606366,1
2019-11-21,103966.8647578736,-1046.853416572231,0.0,102920.01134130136,0.0,0
2020-01-09,102920.01134130136,0.0,4.922549975660196,102915.0887913257,1029.2001134130137,1
2020-01-17,102915.0887913257,0.0,8.26281348293647,102906.82597784276,2058.3510013262708,2
2020-02-08,102906.82597784276,2047.980660567751,0.0,104954.8066384105,1029.2001134130137,1
2020-03-08,104954.8066384105,-4.922549975660196,0.0,104949.88408843485,0.0,0
2020-05-30,104949.88408843485,0.0,7.508842571587921,104942.37524586325,1049.4988408843485,1
2020-06-15,104942.37524586325,-7.508842571587921,0.0,104934.86640329166,0.0,0
2020-07-13,104934.86640329166,0.0,17.475325647257776,104917.3910776444,1049.3486640329165,1
2020-07-23,104917.3910776444,0.0,0.0,104917.3910776444,1049.3486640329165,1
2020-07-24,104917.3910776444,0.0,0.0,104917.3910776444,1049.3486640329165,1
2020-07-27,104917.3910776444,2079.1233050905093,0.0,106996.51438273491,0.0,0
2020-08-20,106996.51438273491,0.0,9.037760243454747,106987.47662249145,1069.965143827349,1
2020-09-03,106987.47662249145,-9.037760243454747,0.0,106978.43886224799,0.0,0
2020-11-09,106978.43886224799,0.0,14.36411602772249,106964.07474622027,1069.7843886224798,1
2020-11-11,106964.07474622027,0.0,0.0,106964.07474622027,1069.7843886224798,1
2020-11-14,106964.07474622027,0.0,0.0,106964.07474622027,1069.7843886224798,1
2020-11-21,106964.07474622027,2123.065092439992,6.374388296904324,109080.76545036337,1090.8713983866028,1
2020-11-24,109080.76545036337,2173.1866656795273,0.0,111253.9521160429,0.0,0
2021-07-28,111253.9521160429,0.0,4.012651032665897,111249.93946501023,1112.539521160429,1
2021-08-01,111249.93946501023,0.0,3.3220443972366955,111246.617420613,2225.0389158105318,2
2021-08-10,111246.617420613,0.0,0.0,111246.617420613,2225.0389158105318,2
2021-09-06,111246.617420613,0.0,0.0,111246.617420613,2225.0389158105318,2
2021-09-26,111246.617420613,322.5193022024656,0.0,111569.13672281546,1112.4993946501024,1
2021-09-30,111569.13672281546,415.4026142015073,0.0,111984.53933701696,0.0,0
2022-10-27,111984.53933701696,0.0,8.417191098053465,111976.12214591891,1119.8453933701696,1
2022-10-29,111976.12214591891,0.0,0.0,111976.12214591891,1119.8453933701696,1
2022-11-08,111976.12214591891,-1127.142739074853,0.0,110848.97940684405,0.0,0
2023-01-06,110848.97940684405,0.0,12.356867737016005,110836.62253910703,1108.4897940684405,1
2023-01-10,110836.62253910703,0.0,17.544103094382105,110819.07843601266,2216.856019459511,2
2023-01-13,110819.07843601266,2196.9716152369765,0.0,113016.05005124964,1108.4897940684405,1
2023-01-14,113016.05005124964,2202.405740811728,0.0,115218.45579206136,0.0,0
2023-02-19,115218.45579206136,0.0,9.49630387002815,115208.95948819134,1152.1845579206135,1
2023-03-09,115208.95948819134,-1160.528677232721,0.0,114048.43081095861,0.0,0
2023-03-18,114048.43081095861,0.0,7.839085631340314,114040.59172532728,1140.4843081095862,1
2023-03-19,114040.59172532728,0.0,0.0,114040.59172532728,1140.4843081095862,1
2023-03-21,114040.59172532728,0.0,0.0,114040.59172532728,1140.4843081095862,1
2023-04-04,114040.59172532728,0.0,4.146875636402041,114036.44484969087,2280.890225362859,2
2023-04-05,114036.44484969087,0.0,0.0,114036.44484969087,2280.890225362859,2
2023-04-06,114036.44484969087,0.0,0.0,114036.44484969087,2280.890225362859,2
2023-04-23,114036.44484969087,0.0,11.61961250070034,114024.82523719018,3421.2546738597675,3
2023-04-26,114024.82523719018,-7.839085631340314,0.0,114016.98615155884,2280.7703657501816,2
2023-05-01,114016.98615155884,-11.61961250070034,0.0,114005.36653905814,1140.4059172532727,1
2023-05-11,114005.36653905814,-1143.4123869724215,0.0,112861.95415208572,0.0,0
2023-05-30,112861.95415208572,0.0,14.354613510530802,112847.59953857519,1128.6195415208572,1
2023-06-10,112847.59953857519,-1141.8455354898672,0.0,111705.75400308533,0.0,0
2023-06-25,111705.75400308533,0.0,7.697978855690772,111698.05602422963,1117.0575400308533,1
2023-07-03,111698.05602422963,0.0,9.031910004135241,111689.0241142255,2234.0381002731497,2
2023-07-14,111689.0241142255,0.0,0.0,111689.0241142255,2234.0381002731497,2
2023-07-16,111689.0241142255,0.0,6.465246736270279,111682.55886748922,3350.9283414154047,3
2023-07-25,111682.55886748922,0.0,0.0,111682.55886748922,3350.9283414154047,3
2023-07-29,111682.55886748922,0.0,0.0,111682.55886748922,3350.9283414154047,3
2023-08-17,111682.55886748922,-3370.7725486700856,0.0,108311.78631881914,0.0,0
2023-08-31,108311.78631881914,0.0,12.394570382855399,108299.39174843629,1083.1178631881914,1
2023-09-11,108299.39174843629,-1094.4293157078587,0.0,107204.96243272843,0.0,0
2023-09-15,107204.96243272843,0.0,19.71388597353493,107185.2485467549,1072.0496243272842,1
2023-09-16,107185.2485467549,0.0,0.0,107185.2485467549,1072.0496243272842,1
2023-09-30,107185.2485467549,0.0,22.025976598103117,107163.2225701568,2143.9021097948334,2
2023-10-02,107163.2225701568,-22.025976598103117,8.517254538347858,107132.67933902034,2143.461590262871,2
2023-10-10,107132.67933902034,0.0,7.2810537076545545,107125.39828531268,3214.7883836530746,3
2023-10-16,107125.39828531268,2122.2412634323787,0.0,109247.63954874506,2142.7387593257904,2
2023-10-18,109247.63954874506,0.0,8.285930629764001,109239.3536181153,3235.215154813241,3
2023-10-21,109239.3536181153,2133.2298794859717,0.0,111372.58349760127,2163.8883614230376,2
2023-10-24,111372.58349760127,0.0,11.281181462706575,111361.30231613856,4391.254916608636,4
2023-10-25,111361.30231613856,0.0,0.0,111361.30231613856,4391.254916608636,4
2023-10-29,111361.30231613856,0.0,0.0,111361.30231613856,4391.254916608636,4
2023-11-02,111361.30231613856,2174.4819075541614,0.0,113535.78422369272,3298.778521121186,3
2023-11-17,113535.78422369272,2216.7127416393905,0.0,115752.49696533212,2185.0526861451726,2
2023-12-01,115752.49696533212,1552.8247496397548,5.9946202781112445,117299.32709469376,2286.6939373593045,2
2023-12-02,117299.32709469376,0.0,12.103611206502318,117287.22348348725,3459.687208306242,3
2023-12-19,117287.22348348725,0.0,0.0,117287.22348348725,3459.687208306242,3
2023-12-23,117287.22348348725,1558.7679344534165,0.0,118845.99141794066,2346.0464880966565,2
2024-01-03,118845.99141794066,-5.9946202781112445,0.0,118839.99679766255,1172.9932709469376,1
2024-01-10,118839.99679766255,2331.536944145479,0.0,121171.53374180803,0.0,0
2024-01-13,121171.53374180803,0.0,7.64777954689976,121163.88596226113,1211.7153374180803,1
2024-01-22,121163.88596226113,0.0,8.564805257703506,121155.32115700343,2423.3541970406914,2
2024-02-13,121155.32115700343,0.0,6.866911490638735,121148.4542455128,3634.9074086107257,3
2024-02-14,121148.4542455128,0.0,6.832296616912476,121141.62194889589,4846.391951065853,4
2024-02-17,121141.62194889589,0.0,0.0,121141.62194889589,4846.391951065853,4
2024-02-27,121141.62194889589,0.0,0.0,121141.62194889589,4846.391951065853,4
2024-02-28,121141.62194889589,4825.649100882699,2.0427540144632754,125965.22829576413,3682.710464522948,3
2024-03-03,125965.22829576413,2514.7833215601127,0.0,128480.01161732424,2423.037754025162,2
2024-03-04,128480.01161732424,2413.713819208432,0.0,130893.72543653268,1211.5532115700344,1
2024-03-05,130893.72543653268,-6.866911490638735,0.0,130886.85852504204,0.0,0
2024-05-19,130886.85852504204,0.0,11.070799974298307,130875.78772506774,1308.8685852504204,1
2024-05-24,130875.78772506774,0.0,0.0,130875.78772506774,1308.8685852504204,1
2024-05-26,130875.78772506774,0.0,6.255150942025896,130869.53257412571,2617.626462501098,2
2024-06-11,130869.53257412571,-1313.7042703154527,0.0,129555.82830381025,1308.8685852504204,1
2024-06-15,129555.82830381025,0.0,6.852100543629335,129548.97620326662,2604.426868288523,2
2024-06-24,129548.97620326662,-1318.6305166394684,0.0,128230.34568662714,1295.5582830381024,1
2024-07-05,128230.34568662714,-1301.1148252986936,0.0,126929.23086132845,0.0,0
2024-09-22,126929.23086132845,0.0,12.91857889469363,126916.31228243376,1269.2923086132846,1
2024-10-03,126916.31228243376,-1280.9415951993649,0.0,125635.3706872344,0.0,0
