scope,start_date,end_date,bars,w_candidates,confirmed_breakouts,valid_retests,trades,wins,losses,breakeven_exits,time_exits,end_of_data_exits,win_rate,gross_r,net_r,mean_net_r,median_net_r,profit_factor,total_net_pnl,return_pct,final_equity,max_drawdown_pct,max_concurrent_risk,max_concurrent_risk_pct,mean_holding_bars,median_holding_bars
BTCUSDT,2017-08-18,2026-08-15,3285,121,77,35,21,10,11,2,3,1,0.47619047619047616,10.14469421594288,9.741215202907458,0.4638673906146409,-0.009565778144613938,2.2366243428062362,10013.28200498966,0.1001328200498966,110013.28200498964,0.022526661546053064,1114.0267785755755,0.010000000000000002,29.571428571428573,23.0
ETHUSDT,2017-08-18,2026-08-15,3285,123,73,29,19,9,10,4,3,1,0.47368421052631576,9.102929692835406,8.773786245930344,0.4617782234700181,-0.013746941673110816,2.6512017652944007,9002.459695711985,0.09002459695711985,109002.45969571194,0.030849740796995567,1098.5403676423007,0.01,29.05263157894737,26.0
SOLUSDT,2020-08-12,2026-08-15,2195,56,29,18,12,3,9,4,1,0,0.25,1.6580860679897824,1.4863880936659453,0.12386567447216211,-0.016189812316956903,1.307159664306917,1416.657158743025,0.014166571587430251,101416.65715874302,0.033736757634249964,1049.5758579250062,0.01,20.166666666666668,20.0
PEPEUSDT,2023-05-06,2026-08-15,1198,11,9,6,5,2,3,1,1,0,0.4,1.40359517360256,1.3558710651851098,0.27117421303702194,-0.01060511540860886,1.6324571191802077,1324.9386009532445,0.013249386009532446,101324.93860095325,0.020256330958137062,1034.1984521323177,0.01,18.2,8.0
DOGEUSDT,2019-07-06,2026-08-15,2598,102,61,25,13,5,8,4,0,0,0.38461538461538464,5.999999999999999,5.818357439991987,0.4475659569224605,-0.010220542751976685,2.347326343334808,5866.612889959113,0.05866612889959113,105866.61288995913,0.02049548788155002,1080.8180215626903,0.010000000000000002,23.153846153846153,23.0
COMBINED,2017-08-18,2026-08-15,12561,413,249,113,70,29,41,15,8,2,0.4142857142857143,28.30930515037062,27.175618047680846,0.38822311496686923,-0.011712924150989826,2.0147483568412716,29531.768992989433,0.2953176899298943,129531.76899298944,0.07179788390712454,5424.166293853209,0.04000392593398705,25.814285714285713,21.0
