signal_time,support_time,support_price,entry_time,entry_fill,stop_ref,target,exit_time,exit_fill,exit_reason,net_pnl,r_multiple
2024-01-10 00:00:00+00:00,2023-12-18 00:00:00+00:00,13.633,2024-01-11 00:00:00+00:00,15.0775219,13.549437000000001,19.6617766,2024-01-25 00:00:00+00:00,13.545372168900002,stop,-1.5464611781344482,-0.9999999999999996
2024-01-27 00:00:00+00:00,2024-01-18 00:00:00+00:00,14.189,2024-01-28 00:00:00+00:00,14.345302299999998,14.076908999999999,15.150482199999997,2024-01-30 00:00:00+00:00,15.145937055339997,target,0.7858891356623289,2.7399568747799043
2024-03-24 00:00:00+00:00,2024-02-28 00:00:00+00:00,18.006,2024-03-25 00:00:00+00:00,18.524555699999997,17.95203,20.242132799999986,2024-03-26 00:00:00+00:00,20.236060160159987,target,1.6921241522299106,2.838434833016593
2024-04-07 00:00:00+00:00,2024-02-23 00:00:00+00:00,17.56,2024-04-08 00:00:00+00:00,17.9183739,17.483499000000002,19.22299859999999,2024-04-09 00:00:00+00:00,17.4782539503,stop,-0.45781826362514855,-0.9999999999999988
2024-07-14 00:00:00+00:00,2024-06-18 00:00:00+00:00,12.931,2024-07-15 00:00:00+00:00,13.4520344,12.876111,15.179804600000002,2024-07-21 00:00:00+00:00,15.175250658620003,target,1.7089026160906933,2.882042837694758
2024-07-26 00:00:00+00:00,2024-06-18 00:00:00+00:00,12.931,2024-07-27 00:00:00+00:00,13.534059,12.89709,15.444965999999996,2024-07-31 00:00:00+00:00,12.893220873,stop,-0.6540517669364985,-0.999999999999999
2024-11-05 00:00:00+00:00,2024-10-10 00:00:00+00:00,10.25,2024-11-06 00:00:00+00:00,10.843252,10.16982,12.863548,2024-11-08 00:00:00+00:00,12.8596889356,target,2.0045854651322004,2.9179339260417074
2025-01-10 00:00:00+00:00,2025-01-01 00:00:00+00:00,19.67,2025-01-11 00:00:00+00:00,20.256075,19.51047,22.492889999999992,2025-01-13 00:00:00+00:00,19.504616859000002,stop,-0.7713384869294982,-1.0000000000000022
2025-02-20 00:00:00+00:00,2025-01-13 00:00:00+00:00,17.83,2025-02-21 00:00:00+00:00,18.285484,17.792189999999998,19.765366000000007,2025-02-21 00:00:00+00:00,17.786852343,stop,-0.516667825171501,-0.9999999999999974
2025-05-08 00:00:00+00:00,2025-04-30 00:00:00+00:00,13.83,2025-05-09 00:00:00+00:00,15.894767,13.796190000000001,22.190497999999998,2025-05-30 00:00:00+00:00,13.792051143000002,stop,-2.1175592660714977,-1.0000000000000002
2025-09-17 00:00:00+00:00,2025-08-26 00:00:00+00:00,22.88,2025-09-18 00:00:00+00:00,24.007199999999997,22.72725,27.847049999999985,2025-09-22 00:00:00+00:00,22.720431825000002,stop,-1.3101319909124953,-1.0000000000000002
2026-03-14 00:00:00+00:00,2026-01-31 00:00:00+00:00,8.97,2026-03-15 00:00:00+00:00,9.172751,8.91108,9.957764,2026-03-16 00:00:00+00:00,9.9547766708,target,0.7724619069645999,2.825547054521653
2026-07-03 00:00:00+00:00,2026-06-19 00:00:00+00:00,7.764,2026-07-04 00:00:00+00:00,7.9773925,7.713279,8.769732999999999,2026-07-08 00:00:00+00:00,7.7109650163,stop,-0.27427166245814893,-0.999999999999997
2026-07-10 00:00:00+00:00,2026-06-19 00:00:00+00:00,7.764,2026-07-11 00:00:00+00:00,7.972390999999999,7.701290999999999,8.785690999999998,2026-07-26 00:00:00+00:00,8.783055292699999,target,0.8022865695536496,2.8526142985480094
