symbol,split,variant,config_id,trades,win_rate,expectancy_r,profit_factor,max_drawdown_r,total_r
BTCUSDT,development,strong_close,0,18,0.2222222222222222,-0.15044689303392514,0.8065682803849534,-5.000000000000002,-2.7080440746106524
ETHUSDT,development,strong_close,0,21,0.23809523809523808,-0.07717976426911985,0.8987015593967802,-8.103634912735732,-1.6207750496515168
BTCUSDT,development,strong_close,1,18,0.2222222222222222,-0.14454769709718052,0.8141529608750537,-5.000000000000004,-2.6018585477492495
ETHUSDT,development,strong_close,1,21,0.23809523809523808,-0.07454094498213479,0.902165009710948,-8.096328934181289,-1.5653598446248305
BTCUSDT,development,strong_close,2,7,0.2857142857142857,0.10895503235861924,1.152537045302067,-2.9999999999999987,0.7626852265103347
ETHUSDT,development,strong_close,2,12,0.08333333333333333,-0.6753029093946444,0.26330591702402434,-10.0,-8.103634912735734
BTCUSDT,development,strong_close,3,7,0.2857142857142857,0.11247841881781051,1.1574697863449348,-3.000000000000002,0.7873489317246736
ETHUSDT,development,strong_close,3,12,0.08333333333333333,-0.674694077848441,0.26397009689261003,-10.000000000000004,-8.096328934181292
BTCUSDT,development,strong_close,4,27,0.25925925925925924,-0.002130727085211049,0.9971235184349648,-5.186986210946853,-0.057529631300698325
ETHUSDT,development,strong_close,4,27,0.2222222222222222,-0.13552174074101883,0.8257577619044045,-8.222007846569301,-3.659087000007508
BTCUSDT,development,strong_close,5,27,0.25925925925925924,0.0026136161035373575,1.0035283817397755,-5.164013764786006,0.07056763479550865
ETHUSDT,development,strong_close,5,27,0.2222222222222222,-0.13343402256078996,0.8284419709932701,-8.204625271870079,-3.602718609141329
BTCUSDT,development,strong_close,6,13,0.23076923076923078,-0.10766839050627947,0.8600310923418367,-2.999999999999999,-1.399689076581633
ETHUSDT,development,strong_close,6,14,0.14285714285714285,-0.43871049022083747,0.4881710947423565,-11.000000000000002,-6.141946863091724
BTCUSDT,development,strong_close,7,13,0.23076923076923078,-0.10442197771397335,0.8642514289718347,-3.000000000000007,-1.3574857102816535
ETHUSDT,development,strong_close,7,14,0.14285714285714285,-0.4381205499069849,0.4888593584418512,-11.000000000000005,-6.133687698697789
BTCUSDT,development,strong_close,8,16,0.25,-0.04425275466316586,0.940996327115779,-5.000000000000002,-0.7080440746106538
ETHUSDT,development,strong_close,8,15,0.13333333333333333,-0.486342152689766,0.4388359776656547,-12.000000000000002,-7.29513229034649
BTCUSDT,development,strong_close,9,16,0.25,-0.037616159234328095,0.9498451210208959,-5.000000000000004,-0.6018585477492495
ETHUSDT,development,strong_close,9,15,0.13333333333333333,-0.4842937092382312,0.44119956626357926,-12.000000000000002,-7.264405638573468
BTCUSDT,development,strong_close,10,6,0.3333333333333333,0.2937808710850554,1.4406713066275831,-2.000000000000001,1.7626852265103325
ETHUSDT,development,strong_close,10,9,0.0,-1.0,0.0,-8.000000000000002,-9.0
BTCUSDT,development,strong_close,11,6,0.3333333333333333,0.29789148862077913,1.4468372329311687,-2.000000000000001,1.7873489317246747
ETHUSDT,development,strong_close,11,9,0.0,-1.0000000000000004,0.0,-8.000000000000004,-9.000000000000004
BTCUSDT,development,strong_close,12,21,0.3333333333333333,0.280051560796002,1.420077341194003,-4.000000000000003,5.881082776716043
ETHUSDT,development,strong_close,12,19,0.15789473684210525,-0.38597074951065663,0.5416597349560952,-13.000000000000002,-7.333444240702476
BTCUSDT,development,strong_close,13,21,0.3333333333333333,0.2871661464320446,1.430749219648067,-4.000000000000004,6.030489075072936
ETHUSDT,development,strong_close,13,19,0.15789473684210525,-0.38430338963631405,0.5436397248068773,-13.000000000000004,-7.301764403089967
BTCUSDT,development,strong_close,14,9,0.3333333333333333,0.28892343593537406,1.433385153903061,-2.000000000000001,2.6003109234183666
ETHUSDT,development,strong_close,14,11,0.09090909090909091,-0.6398465409414539,0.29616880496440096,-10.000000000000004,-7.038311950355992
BTCUSDT,development,strong_close,15,9,0.3333333333333333,0.29361269885759494,1.4404190482863923,-2.000000000000001,2.6425142897183544
ETHUSDT,development,strong_close,15,11,0.09090909090909091,-0.6397598876833182,0.29626412354835047,-10.000000000000005,-7.037358764516499
BTCUSDT,development,strong_close,16,45,0.28888888888888886,0.11072433298956547,1.1557060932665764,-4.3044108578354,4.982594984530446
