combinationId,stage,status,eligibleSignals,tradeCount,fillRate,expectancy,profitFactor,medianR,winRate,maxDrawdownR,consecutiveLosses,meanHoldingHours,medianHoldingHours,feeR,slippageR,ciLow,ciHigh,pValue,holmAdjustedP,holmReject,rejectionReasons,matchedBaselineExpectancy,matchedBaselineProfitFactor
c10-score80-rs-volume-breakout,validation,evaluated,16,4,0.25,-0.574618001396,0.304272994773,-1.066141366916,0.25,3.303698129173,3,3,2,0.224004283563,0.224003820947,-1.142724393184,0.48501175591125,0.9487051294870513,1,false,trade-count-below-40; expectancy-not-positive; profit-factor-below-1.15; median-r-not-positive; bootstrap-ci-not-strictly-positive; holm-adjusted-hypothesis-not-rejected,,
c01-score40-immediate,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c02-score60-immediate,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c03-score80-immediate,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c04-score40-relvol-confirm,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c05-score60-relvol-confirm,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c06-score80-relvol-confirm,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c07-score40-support-retest,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c08-score60-support-breakout,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c09-score60-btc-vwap,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
c10-score80-rs-volume-breakout,holdout,sealed,,,,,,,,,,,,,,,,,,,validation-gate-failed,,
