signal_time,support_time,support_price,entry_time,entry_fill,stop_ref,target,exit_time,exit_fill,exit_reason,net_pnl,r_multiple
2024-01-29 00:00:00+00:00,2024-01-12 00:00:00+00:00,41500.0,2024-01-30 00:00:00+00:00,43315.700812999996,41763.075119999994,47973.577892,2024-02-09 00:00:00+00:00,47959.1858186324,target,4597.8475623165905,2.8599133094456524
2024-04-18 00:00:00+00:00,2024-04-13 00:00:00+00:00,60660.57,2024-04-19 00:00:00+00:00,63489.131026999996,60742.54665,71728.884158,2024-04-19 00:00:00+00:00,60724.323886005,stop,-2826.913868451504,-1.0000000000000004
2024-04-22 00:00:00+00:00,2024-04-03 00:00:00+00:00,64493.07,2024-04-23 00:00:00+00:00,66839.365796,64435.5,74050.963184,2024-04-24 00:00:00+00:00,64416.169350000004,stop,-2488.8242135729975,-0.9999999999999989
2024-05-03 00:00:00+00:00,2024-03-05 00:00:00+00:00,59005.0,2024-05-04 00:00:00+00:00,62900.874603,58752.50868,75345.97237199999,2024-06-24 00:00:00+00:00,58734.882927396,stop,-4226.809554369195,-1.0
2024-08-23 00:00:00+00:00,2024-06-28 00:00:00+00:00,60063.0,2024-08-24 00:00:00+00:00,64056.451171999994,60281.79786,75380.41110799997,2024-08-27 00:00:00+00:00,60263.713320642004,stop,-3854.897933604312,-1.0000000000000004
2024-10-11 00:00:00+00:00,2024-10-03 00:00:00+00:00,59828.11,2024-10-12 00:00:00+00:00,62558.751997,60027.55236,70152.350908,2024-10-28 00:00:00+00:00,70131.3052027276,target,7506.208177127737,2.8753997450253546
2024-12-24 00:00:00+00:00,2024-12-09 00:00:00+00:00,94150.05,2024-12-25 00:00:00+00:00,98693.179074,93475.45098000001,114346.36335599997,2024-12-29 00:00:00+00:00,93447.40834470601,stop,-5341.841023003345,-1.0000000000000002
2025-01-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,94150.05,2025-01-03 00:00:00+00:00,97013.88543699999,94297.608,105162.71774799998,2025-01-08 00:00:00+00:00,94269.31871759999,stop,-2840.208321477293,-1.0000000000000004
2025-01-14 00:00:00+00:00,2024-12-09 00:00:00+00:00,94150.05,2025-01-15 00:00:00+00:00,96589.818255,94251.87378,103603.65168000004,2025-01-17 00:00:00+00:00,103572.57058449605,target,6882.6711350763,2.795984869769747
2025-05-06 00:00:00+00:00,2025-04-28 00:00:00+00:00,92800.01,2025-05-07 00:00:00+00:00,96863.070206,93283.623,107601.411824,2025-05-21 00:00:00+00:00,107569.1314004528,target,10603.84509364956,2.863975426482698
2025-06-06 00:00:00+00:00,2025-05-12 00:00:00+00:00,100718.37,2025-06-07 00:00:00+00:00,104319.71652899998,100994.70420000001,114294.75351599991,2025-06-21 00:00:00+00:00,100964.40578874001,stop,-3457.9528014188454,-1.0000000000000029
2025-06-29 00:00:00+00:00,2025-05-25 00:00:00+00:00,106600.64,2025-06-30 00:00:00+00:00,108389.437079,107065.34748,112361.70587599999,2025-06-30 00:00:00+00:00,107033.227875756,stop,-1463.920535721383,-1.0000000000000073
2025-07-22 00:00:00+00:00,2025-07-15 00:00:00+00:00,115736.92,2025-07-23 00:00:00+00:00,119990.41632899999,116011.872,131926.04931599993,2025-07-25 00:00:00+00:00,115977.0684384,stop,-4131.331632983679,-0.9999999999999991
2025-08-07 00:00:00+00:00,2025-07-25 00:00:00+00:00,114723.16,2025-08-08 00:00:00+00:00,117507.261606,114144.741,127594.82342400002,2025-08-19 00:00:00+00:00,114110.49757769999,stop,-3512.572907891856,-1.0000000000000009
2025-08-20 00:00:00+00:00,2025-08-03 00:00:00+00:00,111920.0,2025-08-21 00:00:00+00:00,114305.51136899999,112267.62,120419.18547599996,2025-08-21 00:00:00+00:00,112233.939714,stop,-2184.8413805414934,-1.0000000000000022
2025-08-22 00:00:00+00:00,2025-08-03 00:00:00+00:00,111920.0,2025-08-23 00:00:00+00:00,116971.0808,111573.10521,133165.00757000002,2025-08-24 00:00:00+00:00,111539.633278437,stop,-5545.702878602216,-1.000000000000001
2025-09-16 00:00:00+00:00,2025-07-25 00:00:00+00:00,114723.16,2025-09-17 00:00:00+00:00,116823.996688,114622.37289,123428.868082,2025-09-22 00:00:00+00:00,114587.986178133,stop,-2351.7165013000745,-1.0000000000000007
2025-09-29 00:00:00+00:00,2025-08-03 00:00:00+00:00,111920.0,2025-09-30 00:00:00+00:00,114346.263591,111449.08935,123037.786314,2025-10-03 00:00:00+00:00,123000.8749781058,target,8535.937817821248,2.8046545323978713
