signal_time,support_time,support_price,entry_time,entry_fill,stop_ref,target,exit_time,exit_fill,exit_reason,net_pnl,r_multiple
2024-01-01 08:00:00+00:00,2023-12-29 16:00:00+00:00,102.28,2024-01-01 12:00:00+00:00,104.36129899999999,101.2711,110.54169699999996,2024-01-02 00:00:00+00:00,110.50853449089996,target,6.039800574154528,1.873746832677723
2024-01-15 16:00:00+00:00,2024-01-14 20:00:00+00:00,93.62,2024-01-15 20:00:00+00:00,96.048806,92.7937,102.559018,2024-01-17 08:00:00+00:00,102.5282502946,target,6.3801557664527015,1.889100341597919
2024-01-26 08:00:00+00:00,2024-01-19 16:00:00+00:00,87.04,2024-01-26 12:00:00+00:00,91.98758799999999,86.57495,102.81286399999996,2024-01-30 00:00:00+00:00,102.78202014079997,target,10.69704733672958,1.9351088882633183
2024-02-04 08:00:00+00:00,2024-02-03 12:00:00+00:00,96.53,2024-02-04 12:00:00+00:00,97.93937299999999,95.4205,102.97711899999996,2024-02-04 20:00:00+00:00,95.39187385000001,stop,-2.6441647734249742,-0.9999999999999978
2024-02-24 04:00:00+00:00,2024-02-21 16:00:00+00:00,100.23,2024-02-24 08:00:00+00:00,102.27067199999999,99.6791,107.45381599999996,2024-02-26 16:00:00+00:00,107.42157985519997,target,5.046061729272369,1.8535100005294995
2024-02-26 16:00:00+00:00,2024-02-17 12:00:00+00:00,105.0,2024-02-26 20:00:00+00:00,109.73291,104.00735,121.18403,2024-02-29 00:00:00+00:00,121.14767479100001,target,11.299324498604514,1.927023032266631
2024-03-06 04:00:00+00:00,2024-02-29 20:00:00+00:00,122.5,2024-03-06 08:00:00+00:00,133.23996,121.7283,156.26327999999998,2024-03-13 12:00:00+00:00,156.216401016,target,22.831712835491984,1.9554991681860023
2024-04-08 04:00:00+00:00,2024-04-02 12:00:00+00:00,175.92,2024-04-08 08:00:00+00:00,180.204045,174.87125,190.86963500000002,2024-04-09 08:00:00+00:00,174.818788625,stop,-5.562767791812499,-0.9999999999999993
2024-04-10 16:00:00+00:00,2024-04-05 12:00:00+00:00,167.84,2024-04-10 20:00:00+00:00,171.361393,166.165,181.754179,2024-04-12 16:00:00+00:00,166.1151505,stop,-5.414980771749989,-1.0000000000000007
2024-04-20 12:00:00+00:00,2024-04-12 16:00:00+00:00,141.0,2024-04-20 16:00:00+00:00,147.24416,140.2552,161.22207999999998,2024-04-26 20:00:00+00:00,140.21312344,stop,-7.174765201719985,-0.9999999999999984
2024-05-15 12:00:00+00:00,2024-05-12 04:00:00+00:00,143.65,2024-05-15 16:00:00+00:00,151.655483,142.9218,169.12284900000003,2024-05-17 04:00:00+00:00,169.07211214530003,target,17.256265347727386,1.9337293119029544
2024-05-25 00:00:00+00:00,2024-05-19 12:00:00+00:00,165.96,2024-05-25 04:00:00+00:00,169.700895,165.0705,178.961685,2024-05-26 00:00:00+00:00,165.02097885,stop,-4.8472770869250015,-1.0000000000000004
2024-05-27 08:00:00+00:00,2024-05-19 12:00:00+00:00,165.96,2024-05-27 12:00:00+00:00,167.780319,164.175,174.99095699999995,2024-05-30 08:00:00+00:00,164.12574750000002,stop,-3.820524533249979,-1.0000000000000047
2024-05-31 08:00:00+00:00,2024-05-29 12:00:00+00:00,167.0,2024-05-31 12:00:00+00:00,168.790622,165.19985,175.97216600000004,2024-05-31 12:00:00+00:00,165.150290045,stop,-3.807302411022525,-0.9999999999999984
2024-06-03 04:00:00+00:00,2024-05-31 16:00:00+00:00,163.67,2024-06-03 08:00:00+00:00,165.39960499999998,161.8268,172.54521499999996,2024-06-05 00:00:00+00:00,172.49345143549996,target,6.924899907282227,1.8295920954537779
2024-06-12 20:00:00+00:00,2024-06-07 16:00:00+00:00,152.92,2024-06-13 00:00:00+00:00,155.256563,152.036,161.697689,2024-06-13 00:00:00+00:00,151.9903892,stop,-3.4197972761000015,-1.0
